normal,simple
"Some of them have special materials that help to keep the deck from breaking : such as fiberglass , bamboo , resin , Kevlar , carbon fiber , aluminum , and plastic .","Other materials used in making decks fiberglass , bamboo , resin , Kevlar , carbon fiber , aluminum , and plastic ."
"When a display is needed , the lizards erect the hyoid bone of their throat , resulting in a large vertical flap of brightly colored skin beneath the head which can be then used for communication .","When a display is needed , the lizards erect the hyoid bone of their throat , resulting in a large vertical flap of brightly colored skin beneath the head which can be then used for communication ."
"The American Academy of Dermatology distinguishes 5 types of tattoos : Traumatic tattoos , also called `` natural tattoos '' , that result from injuries , especially asphalt from road injuries or pencil lead ; Amateur tattoos ; Professional tattoos , both via traditional methods and modern tattoo machines ; Medical tattoos ; Cosmetic tattoos , also known as `` permanent makeup '' .","Tattoos may be made on human or animal skin . Tattoos on humans are a type of body modification , but tattoos on animals are most often used for identification ."
"A goitre or goiter ( Latin gutteria , struma ) , is a swelling in the thyroid gland , which can lead to a swelling of the neck or larynx ( voice box ) .","A goitre ( BrE ) , or goiter ( AmE ) ( Latin struma ) , also called a bronchocele , is a swelling in the neck ( just below Adam 's apple or larynx ) due to an enlarged thyroid gland ."
The Buxton Mineral Water Company ( owned by Nestle ) and Buxton Spring Ltd extract and bottle mineral waters in Buxton .,Buxton is described as `` the gateway to the Peak District National Park '' . Buxton is also close to Manchester .
"The structure is known as the middle ear , and is made up of the incus , stapes , malleus , and tympanic membrane .","The structure is known as the middle ear , and is made up of the incus , stapes , malleus , and tympanic membrane ."
"Studies have shown that ear bones in mammal embryos are attached to the dentary , which is part of the jaw .","Studies have shown that ear bones in mammal embryos are attached to the dentary , which is part of the lower jaw ."
"The ossicles are , in order from the eardrum to the inner ear ( biologically/medically from superficial to deep ) , the malleus , incus , and stapes .","The ossicles are , in order from the eardrum to the inner ear ( from superficial to deep ) , the malleus , incus , and stapes ."
"Users were attracted to Linux distributions as alternatives to the DOS and Microsoft Windows operating systems on the PC , Mac OS on the Apple Macintosh , and proprietary versions of Unix .","People who used computers wanted to use Linux distributions as replacements to Microsoft Windows operating systems on the PC , Mac OS on the Apple Macintosh and proprietary versions of Unix ."
"They attract matter like any other mass , but objects falling towards a white hole would never actually reach the white hole 's event horizon ( though in the case of the maximally extended Schwarzschild solution , discussed below , the white hole event horizon in the past becomes a black hole event horizon in the future , so any object falling towards it will eventually reach the black hole horizon ) . In quantum mechanics , the black hole emits Hawking radiation , and so can come to thermal equilibrium with a gas of radiation .","In astrophysics , a white hole is the opposite of a black hole ."
"The band was formed shortly after Leslie West , formerly of the Long Island R&B band The Vagrants , recorded a solo album titled Mountain ( a reference to West 's one-time physical bulk ) with bassist and former Cream collaborator Felix Pappalardi producing . The album also featured former Remains drummer N.D. Smart .","The band was formed when Leslie West , formerly from the Long Island R&B band The Vagrants had recorded a solo album entitled Mountain ( which was a reference to West 's one-time physical bulk ) and had former Cream collaborator and bassist Felix Pappalardi producing it and former Remains drummer N.D. Smart ."
"As chemical weapons , they are classified as weapons of mass destruction by the United Nations according to UN Resolution 687 ( passed in April 1991 ) and their production and stockpiling was outlawed by the Chemical Weapons Convention of 1993 ; the Chemical Weapons Convention officially took effect on April 29 , 1997 .","Since they are chemical weapons , they are classified as weapons of mass destruction by the United Nations according to UN Resolution 687 ."
"One of Nickelodeon 's sister channels , it concentrated on preschool programs and featured the animated characters of Moose A. Moose ( a moose voiced by Paul Christie who also voiced Stick Stickly on Nick in the Afternoon ) and Zee ( a silent blue bird ) .","This channel features the animated characters of Moose A. Moose ( a moose ) and Zee ( a blue bird ) . It is one of Nickelodeon 's sister channels , concentrating on preschool programs ."
"Technically , Noggin did not show commercials , but it did show ads between shows such as Mud N ' Bugs Cereal , and Connie the Cow 's Milk Break , as well as other `` tie-in '' media such as a music video that tied in with the film Curious George , and spots for airings of shows on other channels within the Nick family .","Technically , Fox Noggin Channel does not show commercials , but it has shown ads and billboards for products such as Kellogg 's Mud N ' Bugs Cereal , and Lego 's Explorer Line of Toys , as well as other `` tie-in '' media such as a music video that tied in with the film Curious George , and spots for airings of shows on other channels within the Nick family ."
"In mammals , the thorax is the region of the body formed by the sternum , the thoracic vertebrae , and the ribs .","In mammals , the parts that make up the thorax are the sternum , the thoracic vertebrae and the ribs ."
"Within the cell , vitamin K undergoes electron reduction to a reduced form of vitamin K ( called vitamin K hydroquinone ) by the enzyme vitamin K epoxide reductase ( or VKOR ) .",Vitamin K is a vitamin which is soluble in fat .
"The kangaroo mouse collects food and maintains large caches in their burrows , which are excavated to a length of between 3 and 8 feet ( 1 to 2.5 meters ) .",The kangaroo mouse collects food and maintains large stocks in their burrows . These burrows are excavated to a length of between 3 and 8 feet ( 1 to 2.5 meters ) .
